City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
200,Bay Roberts,47.5999,-53.2648,47.34,90,100,4.0,CA,overcast clouds,2021-11-01 04:35:27
201,Nuuk,64.1835,-51.7216,38.01,81,75,19.57,GL,broken clouds,2021-11-01 04:35:28
202,Gallup,35.5281,-108.7426,48.02,43,1,0.0,US,clear sky,2021-11-01 04:35:29
203,Loei,17.4167,101.5,74.57,88,99,4.27,TH,overcast clouds,2021-11-01 04:35:29
204,Isangel,-19.55,169.2667,77.05,64,74,12.82,VU,broken clouds,2021-11-01 04:35:30
205,Gayny,60.3071,54.3241,35.26,98,100,5.39,RU,light rain,2021-11-01 04:35:30
206,Cookeville,36.1628,-85.5016,48.99,98,75,0.0,US,mist,2021-11-01 04:35:31
207,Koslan,63.4564,48.8989,25.3,88,98,7.02,RU,overcast clouds,2021-11-01 04:32:58
208,Talnakh,69.4865,88.3972,-11.81,98,87,4.47,RU,overcast clouds,2021-11-01 04:35:32
209,Akureyri,65.6835,-18.0878,33.73,86,90,16.11,IS,light rain,2021-11-01 04:35:09
210,Geraldton,-28.7667,114.6,70.21,43,47,19.57,AU,scattered clouds,2021-11-01 04:30:50
211,Sao Joao Da Barra,-21.6403,-41.0511,69.96,93,100,16.15,BR,light rain,2021-11-01 04:35:33
212,Suraabad,40.8192,49.4687,57.38,74,83,10.25,AZ,broken clouds,2021-11-01 04:35:34
213,Bam,29.106,58.357,71.62,26,0,13.2,IR,clear sky,2021-11-01 04:35:29
214,Idaho Falls,43.4666,-112.0341,49.62,76,1,8.05,US,clear sky,2021-11-01 04:35:35
215,Svetlogorsk,52.6333,29.7333,36.81,81,0,7.38,BY,clear sky,2021-11-01 04:35:36
216,Zhanakorgan,43.9098,67.2495,48.61,50,13,4.0,KZ,few clouds,2021-11-01 04:35:36
217,Berlevag,70.8578,29.0864,32.0,83,83,16.08,NO,broken clouds,2021-11-01 04:35:37
218,Cidreira,-30.1811,-50.2056,67.23,90,7,19.86,BR,clear sky,2021-11-01 04:32:48
