City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
Raub,MY,overcast clouds,88.03,3.7899,101.857,Daniels Guest House Raub
Hambantota,LK,scattered clouds,86.34,6.1241,81.1185,Bungalow 63
Saint-Georges,GD,overcast clouds,79.07,12.0564,-61.7485,Radisson Grenada Beach Resort
Marawi,PH,broken clouds,75.65,7.9986,124.2928,Derogongan Residence
Sonepur,IN,scattered clouds,82.85,20.8333,83.9167,Hotel Progress INN
Montanhas,BR,scattered clouds,80.15,-6.4858,-35.2875,Pousada Maria Salete
Ouegoa,NC,few clouds,79.29,-20.35,164.4333,
Labuhan,ID,overcast clouds,81.75,-6.8844,112.2051,PT PPI Lamongan Tambak C
Ambon,ID,scattered clouds,87.94,-3.6954,128.1814,Swiss-Belhotel Ambon
Port-Gentil,GA,heavy intensity rain,76.33,-0.7193,8.7815,Fengshui Residence
Bubaque,GW,broken clouds,82.33,11.2833,-15.8333,"Casa Dora, Bubaque"
Oum Hadjer,TD,scattered clouds,80.29,13.2954,19.6966,
Gamba,GA,moderate rain,75.18,-2.65,10.0,
Mahibadhoo,MV,broken clouds,83.61,3.7833,72.9667,Omadhoo Inn
Wau,SS,broken clouds,76.5,7.7029,27.9953,Universal Gab Hotel
Trairi,BR,broken clouds,80.67,-3.2778,-39.2689,janelas do mar
Isabela,PH,broken clouds,87.85,6.7085,121.9711,Isawad Resort
Ler,SS,overcast clouds,77.23,8.3018,30.1418,
Cockburn Town,TC,overcast clouds,81.79,21.4612,-71.1419,Osprey Beach Hotel
Dicabisagan,PH,scattered clouds,84.16,17.0818,122.4157,Nancy Montanes Bernardo
Maragogi,BR,broken clouds,75.76,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Rock Sound,BS,overcast clouds,79.2,24.9,-76.2,Rock Sound Club
Itarema,BR,broken clouds,80.33,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Puri,IN,few clouds,84.72,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
Tual,ID,overcast clouds,84.34,-5.6667,132.75,Grand Vilia Hotel
Anloga,GH,broken clouds,79.02,5.7947,0.8973,Pin Drop Hotel
Bintulu,MY,scattered clouds,88.21,3.1667,113.0333,900 Boutique INN
Batemans Bay,AU,broken clouds,82.2,-35.7167,150.1833,Batemans Bay Marina Resort
Amuntai,ID,overcast clouds,89.47,-2.4177,115.2494,Hotel Balqis
Manavalakurichi,IN,moderate rain,78.89,8.1333,77.3,Udaya Boys Hostel
Puli,TW,broken clouds,84.22,23.9664,120.9695,小島好樂
Kawalu,ID,overcast clouds,82.83,-7.3817,108.2082,KOSAN UNGU UNSIK
Atambua,ID,broken clouds,86.74,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
Tezu,IN,broken clouds,80.1,27.9167,96.1667,Circuit House
Oranjestad,AW,few clouds,80.55,12.524,-70.027,Divi Village Golf & Beach Resort
Nizwa,OM,clear sky,85.06,22.9333,57.5333,Orient Apartments
Manggar,ID,overcast clouds,81.45,-2.8833,108.2667,Guest Hotel
Bolilao,PH,broken clouds,84.51,10.8833,122.7333,Aseur Pension House
Umm Lajj,SA,broken clouds,83.61,25.0213,37.2685,Moon light Furnished Units
Saint-Pierre,RE,clear sky,79.57,-21.3393,55.4781,Lindsey Hôtel
Avondale,US,clear sky,77.68,33.4356,-112.3496,Best Western Phoenix Goodyear Inn
Tessalit,ML,clear sky,78.82,20.1986,1.0114,
Puerto Escondido,MX,broken clouds,77.34,15.85,-97.0667,Aldea del Bazar Hotel and Spa
Yelandur,IN,overcast clouds,79.95,12.0667,77.0333,Nisarga Home Stay
Nsanje,MW,few clouds,80.11,-16.92,35.262,Nsanje Discovery Lodge
Beloha,MG,few clouds,77.97,-25.1667,45.05,
Aron,IN,clear sky,77.23,24.3833,77.4167,Shri Ram marriage garden aron
Bima,ID,light rain,87.49,-8.4667,118.7167,Lambitu Hotel
